Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2017-05-01,00:18,Monday,KIPLING STATION (ENTER,TUSC,0,0,W,BD,5251
2017-05-01,00:58,Monday,ISLINGTON STATION,MUSC,0,0,W,BD,5182
2017-05-01,01:07,Monday,UNION STATION (DOWNSVI,MUPAA,3,7,N,YU,5811
2017-05-01,01:18,Monday,MCCOWAN STATION,MRTO,4,9,S,SRT,3006
2017-05-01,01:42,Monday,CASTLE FRANK STATION,MUO,7,11,W,BD,5296
2017-05-01,05:56,Monday,JANE STATION,EUBK,5,0,W,BD,5056
2017-05-01,06:18,Monday,OLD MILL STATION,MUSC,0,0,E,BD,5277
2017-05-01,06:26,Monday,DUNDAS STATION,MUI,16,21,S,YU,6121
2017-05-01,06:31,Monday,EGLINTON WEST STATION,EUDO,3,5,S,YU,6081
2017-05-01,06:52,Monday,DUNDAS WEST STATION,EUDO,7,9,W,BD,5119
2017-05-01,07:03,Monday,LESLIE STATION,TUSC,0,0,W,SHP,6181
2017-05-01,07:10,Monday,KENNEDY BD STATION,EUNT,0,0,W,BD,5056
2017-05-01,07:12,Monday,ISLINGTON STATION,MUSC,3,5,E,BD,5283
2017-05-01,07:15,Monday,WOODBINE STATION,MUDD,0,0,E,BD,5115
2017-05-01,07:29,Monday,CHESTER STATION,MUSC,0,0,W,BD,5294
2017-05-01,07:40,Monday,BAY STATION,MUSC,0,0,W,BD,5294
2017-05-01,07:45,Monday,BATHURST STATION,MUPAA,4,6,W,BD,5127
2017-05-01,07:56,Monday,RUNNYMEDE STATION,MUSC,0,0,W,BD,5294
2017-05-01,08:05,Monday,ISLINGTON STATION,MUSC,0,0,W,BD,5294
2017-05-01,08:21,Monday,ELLESMERE STATION,TRTC,4,9,S,SRT,3010
2017-05-01,08:43,Monday,SHERBOURNE STATION,EUVA,7,9,E,BD,5085
2017-05-01,08:50,Monday,YORK MILLS STATION,TUMVS,0,0,N,YU,5511
2017-05-01,09:23,Monday,ISLINGTON STATION,MUSC,0,0,E,BD,5341
2017-05-01,09:50,Monday,BATHURST STATION,TUSC,0,0,E,BD,5177
2017-05-01,09:56,Monday,KIPLING STATION,MUSC,0,0,E,BD,5102
2017-05-01,09:57,Monday,KIPLING STATION,MUSC,0,0,E,BD,5159
2017-05-01,09:57,Monday,DUNDAS STATION,MUI,5,7,S,YU,6131
2017-05-01,10:05,Monday,BAY STATION,MUPR1,40,43,E,BD,5003
2017-05-01,10:23,Monday,ISLINGTON STATION,PUSO,0,0,E,BD,5078
2017-05-01,10:28,Monday,EGLINTON STATION,MUIE,0,0,,YU,0
2017-05-01,11:10,Monday,GREENWOOD STATION,TUSC,0,0,W,BD,5048
2017-05-01,11:15,Monday,COXWELL STATION,MUSC,0,0,W,BD,5048
2017-05-01,11:21,Monday,ST GEORGE BD STATION,MUIR,8,11,W,BD,5028
2017-05-01,11:52,Monday,KENNEDY SRT STATION,MRO,5,10,S,SRT,3002
2017-05-01,11:58,Monday,PAPE STATION,PUMEL,0,0,,BD,0
2017-05-01,12:11,Monday,ROYAL YORK STATION,MUIS,0,0,E,BD,0
2017-05-01,12:14,Monday,ISLINGTON STATION,MUSC,0,0,E,BD,5283
2017-05-01,12:15,Monday,JANE STATION (APPROACH,MUPLB,4,7,W,BD,5112
2017-05-01,12:17,Monday,LESLIE STATION,TUSC,0,0,W,SHP,6471
2017-05-01,12:26,Monday,BATHURST STATION,MUIS,0,0,,BD,0
2017-05-01,12:42,Monday,KENNEDY SRT STATION,MRTO,0,0,S,SRT,3019
2017-05-01,12:57,Monday,CHRISTIE STATION,MUPAA,3,6,W,BD,5164
2017-05-01,13:41,Monday,KENNEDY SRT STATION,MRTO,0,0,S,SRT,3006
2017-05-01,13:46,Monday,ELLESMERE STATION,MRTO,0,0,S,SRT,3000
2017-05-01,14:29,Monday,BLOOR STATION,MUPAA,0,0,N,YU,5911
2017-05-01,14:49,Monday,CHRISTIE STATION,MUSC,0,0,W,BD,5083
2017-05-01,14:49,Monday,WILSON STATION,EUPI,3,6,N,YU,5686
2017-05-01,15:34,Monday,ST PATRICK STATION,TUSC,0,0,,YU,5686
2017-05-01,15:41,Monday,DOWNSVIEW STATION,EUBK,4,7,S,YU,5691
2017-05-01,15:52,Monday,GLENCAIRN STATION,MUNCA,0,0,,YU,0
2017-05-01,16:11,Monday,OLD MILL STATION,MUSC,0,0,E,BD,5283
2017-05-01,16:14,Monday,VICTORIA PARK STATION,MUSC,0,0,W,BD,5076
2017-05-01,16:38,Monday,KENNEDY BD STATION,MUSC,0,0,W,BD,5072
2017-05-01,16:49,Monday,ST PATRICK STATION,PUMST,0,0,,YU,0
2017-05-01,16:53,Monday,ST CLAIR WEST STATION,SUDP,3,5,S,YU,5836
2017-05-01,17:37,Monday,ST GEORGE BD STATION,MUDD,4,6,W,BD,5130
2017-05-01,17:42,Monday,WOODBINE STATION (LEAV,MUSC,0,0,W,BD,5243
2017-05-01,17:50,Monday,DUNDAS WEST STATION,SUCOL,0,0,W,BD,5264
2017-05-01,17:55,Monday,COXWELL STATION,EUBK,0,0,E,BD,5135
2017-05-01,17:56,Monday,KENNEDY BD STATION (AP,TUSC,0,0,E,BD,5272
2017-05-01,17:57,Monday,OLD MILL STATION,MUSC,0,0,E,BD,5283
2017-05-01,18:00,Monday,NORTH YORK CTR STATION,MUPAA,0,0,N,YU,5751
2017-05-01,18:21,Monday,SHEPPARD STATION,MUIRS,3,5,S,YU,5641
2017-05-01,18:46,Monday,KENNEDY BD STATION,MUSC,0,0,W,BD,5191
2017-05-01,18:53,Monday,KENNEDY SRT STATION,SRDP,9,16,N,SRT,3023
2017-05-01,20:10,Monday,KENNEDY SRT STATION,MRTO,0,0,S,SRT,3019
2017-05-01,20:18,Monday,KENNEDY SRT STATION,MRTO,0,0,S,SRT,3023
2017-05-01,20:26,Monday,LAWRENCE WEST STATION,PUMEL,0,0,,YU,0
2017-05-01,20:32,Monday,MCCOWAN STATION,MRTO,0,0,S,SRT,3006
2017-05-01,20:44,Monday,GREENWOOD STATION,MUSC,0,0,W,BD,5336
2017-05-01,20:55,Monday,ISLINGTON STATION,PUMST,0,0,,BD,0
2017-05-01,22:00,Monday,YONGE-UNIVERSITY AND B,MUO,0,0,,BD,0
2017-05-01,22:17,Monday,OLD MILL STATION (EXIT,PUSTC,7,11,E,BD,5099
2017-05-01,22:27,Monday,OLD MILL STATION,SUDP,3,7,E,BD,5137
2017-05-01,22:39,Monday,EGLINTON WEST STATION,MUSC,0,0,N,YU,5761
2017-05-01,22:51,Monday,ST PATRICK STATION,MUIS,0,0,,YU,0
2017-05-01,22:58,Monday,KEELE STATION,MUSC,0,0,E,BD,5298
2017-05-01,23:07,Monday,YONGE BD STATION,MUPAA,5,9,W,BD,5225
2017-05-01,23:07,Monday,KENNEDY SRT STATION,MRTO,9,14,S,SRT,3006
2017-05-01,23:25,Monday,YONGE-UNIVERSITY LINE,MUGD,0,0,,YU,0
2017-05-01,23:30,Monday,BLOOR DANFORTH SUBWAY,MUGD,0,0,,BD,0
2017-05-01,23:32,Monday,LAWRENCE STATION,MUIR,3,7,S,YU,6131
2017-05-01,23:34,Monday,OLD MILL STATION (APPR,TUSC,0,0,E,BD,5307
2017-05-01,23:57,Monday,SHEPPARD STATION,PUMEL,0,0,,SHP,0
2017-05-02,00:33,Tuesday,YORK MILLS STATION,MUIS,0,0,S,YU,0
2017-05-02,00:45,Tuesday,DUFFERIN STATION,MUSC,0,0,E,BD,5307
2017-05-02,01:05,Tuesday,OLD MILL STATION,SUO,0,0,E,BD,5264
2017-05-02,01:11,Tuesday,BAYVIEW STATION,MUSC,0,0,E,SHP,6176
2017-05-02,01:21,Tuesday,BATHURST STATION,MUI,12,16,E,BD,5264
2017-05-02,01:35,Tuesday,COLLEGE STATION,MUIR,0,0,S,YU,5421
2017-05-02,05:12,Tuesday,ST GEORGE STATION,PUMO,0,0,N,YU,0
2017-05-02,05:41,Tuesday,MCCOWAN STATION,ERDO,9,14,N,SRT,3002
2017-05-02,06:19,Tuesday,KENNEDY BD STATION,MUSC,0,0,E,BD,5182
2017-05-02,06:25,Tuesday,LAWRENCE EAST STATION,MRTO,0,0,N,SRT,3015
2017-05-02,06:30,Tuesday,DUPONT STATION (APPROA,TUMVS,4,6,S,YU,5381
2017-05-02,06:42,Tuesday,ELLESMERE STATION,MRTO,8,13,S,SRT,3002
2017-05-02,07:14,Tuesday,GREENWOOD STATION,MUSC,0,0,E,BD,5099
2017-05-02,07:17,Tuesday,GREENWOOD STATION,EUNT,0,0,W,BD,5061
2017-05-02,07:17,Tuesday,FINCH STATION,MUSC,0,0,S,YU,5386
2017-05-02,07:20,Tuesday,SPADINA BD STATION,EUDO,5,7,E,BD,5256
2017-05-02,07:24,Tuesday,KIPLING STATION,MUSC,0,0,E,BD,5294
2017-05-02,07:29,Tuesday,YORK MILLS STATION (AP,TUSC,0,0,S,YU,5536
2017-05-02,07:30,Tuesday,SHERBOURNE STATION,EUCD,7,9,E,BD,5256
2017-05-02,07:51,Tuesday,MCCOWAN STATION,PRSW,3,8,N,SRT,0
2017-05-02,09:21,Tuesday,EGLINTON WEST STATION,TUSC,0,0,N,YU,5126
2017-05-02,09:24,Tuesday,BLOOR DANFORTH SUBWAY,PUCSS,0,0,,BD,0
2017-05-02,09:26,Tuesday,SHEPPARD SUBWAY LINE,PUCSS,0,0,,SHP,0
2017-05-02,10:12,Tuesday,BAY STATION,MUPAA,0,0,E,BD,5329
2017-05-02,10:24,Tuesday,BROADVIEW STATION,MUPAA,0,0,E,BD,5329
2017-05-02,10:36,Tuesday,WELLESLEY STATION,SUDP,4,6,N,YU,5976
2017-05-02,10:51,Tuesday,BLOOR DANFORTH SUBWAY,MUO,0,0,,BD,0
2017-05-02,10:56,Tuesday,ST CLAIR STATION,MUSC,0,0,S,YU,2368
2017-05-02,11:40,Tuesday,EGLINTON STATION,TUNIP,4,7,S,YU,5421
2017-05-02,11:41,Tuesday,PAPE STATION,SUDP,12,15,W,BD,5332
2017-05-02,11:46,Tuesday,YONGE BD STATION,MUIS,0,0,W,BD,0
2017-05-02,12:00,Tuesday,BLOOR STATION,MUIR,0,0,S,YU,5676
2017-05-02,13:45,Tuesday,ST GEORGE YUS STATION,MUSC,0,0,S,YU,5411
2017-05-02,13:46,Tuesday,BLOOR STATION,MUIS,0,0,S,YU,0
2017-05-02,14:07,Tuesday,DUNDAS STATION E/S 1,MUIS,0,0,,YU,0
2017-05-02,14:22,Tuesday,COXWELL STATION,MUPAA,0,0,E,BD,5206
2017-05-02,15:31,Tuesday,PAPE STATION,EUAL,3,5,E,BD,5155
2017-05-02,15:32,Tuesday,FINCH STATION,TUSC,0,0,N,YU,6066
2017-05-02,16:31,Tuesday,WOODBINE STATION,MUSC,0,0,W,BD,5121
2017-05-02,16:48,Tuesday,VICTORIA PARK STATION,MUPAA,0,0,E,BD,5078
2017-05-02,16:56,Tuesday,SPADINA BD STATION,SUDP,3,5,E,BD,5277
2017-05-02,17:06,Tuesday,BROADVIEW STATION,MUD,6,8,E,BD,5230
2017-05-02,17:17,Tuesday,KENNEDY BD STATION,MUSAN,3,5,W,BD,5159
2017-05-02,17:27,Tuesday,SUMMERHILL STATION,MUIR,0,0,N,YU,6066
2017-05-02,17:36,Tuesday,ISLINGTON STATION (APP,MUSC,0,0,E,BD,5096
2017-05-02,17:41,Tuesday,MAIN STREET STATION,MUPAA,6,8,W,BD,5085
2017-05-02,17:46,Tuesday,MUSEUM STATION,MUSC,0,0,N,YU,5721
2017-05-02,17:47,Tuesday,BLOOR STATION,MUPAA,0,0,S,YU,5876
2017-05-02,17:48,Tuesday,KENNEDY STATION (PALTF,EUBK,0,0,W,BD,5182
2017-05-02,17:50,Tuesday,CHESTER STATION,PUTDN,6,8,E,BD,5269
2017-05-02,18:12,Tuesday,BATHURST STATION,MUIS,0,0,,BD,0
2017-05-02,18:13,Tuesday,BATHURST STATION,MUD,3,5,E,BD,5296
2017-05-02,18:31,Tuesday,HIGH PARK STATION (ENT,MUSC,0,0,E,BD,5099
2017-05-02,19:36,Tuesday,YORK MILLS STATION,MUSC,0,0,N,YU,5836
2017-05-02,19:56,Tuesday,BAY STATION,PUTIJ,0,0,W,BD,5064
2017-05-02,20:16,Tuesday,SHEPPARD STATION,TUMVS,0,0,S,YU,5941
2017-05-02,20:51,Tuesday,KENNEDY BD STATION,SUSA,0,0,,BD,0
2017-05-02,21:21,Tuesday,ST GEORGE YUS STATION,MUSC,0,0,N,YU,5421
2017-05-02,22:02,Tuesday,WILSON CARHOUSE,MUO,0,0,,YU,0
2017-05-02,22:06,Tuesday,WILSON STATION,TUSC,0,0,N,YU,5786
2017-05-02,23:15,Tuesday,BLOOR DANFORTH SUBWAY,MUGD,0,0,,BD,0
2017-05-02,23:27,Tuesday,YONGE UNIVERSITY SUBWA,MUGD,0,0,,YU,0
2017-05-03,00:57,Wednesday,LAWRENCE WEST STATION,TUSC,0,0,N,YU,5826
2017-05-03,01:11,Wednesday,LANSDOWNE STATION,SUAP,11,15,W,BD,5313
2017-05-03,01:45,Wednesday,KENNEDY BD STATION,SUDP,0,0,,BD,0
2017-05-03,01:59,Wednesday,KENNEDY BD STATION,MUSC,0,0,W,BD,5244
2017-05-03,06:07,Wednesday,LAWRENCE EAST STATION,MRTO,0,0,N,SRT,3009
2017-05-03,06:20,Wednesday,UNION STATION,PUSTS,3,8,N,YU,5521
2017-05-03,06:28,Wednesday,WILSON STATION (APPROA,MUSC,0,0,S,YU,5451
2017-05-03,06:41,Wednesday,MCCOWAN STATION,ERTC,10,15,N,SRT,3009
2017-05-03,07:30,Wednesday,GREENWOOD STATION,EUYRD,5,7,E,BD,5256
2017-05-03,07:46,Wednesday,HIGH PARK STATION,MUSC,0,0,E,BD,5307
2017-05-03,07:49,Wednesday,ST CLAIR STATION,MUPAA,0,0,S,YU,5676
2017-05-03,07:55,Wednesday,ST CLAIR WEST STATION,MUPAA,0,0,N,YU,5921
2017-05-03,08:17,Wednesday,OSSINGTON STATION,TUSC,0,0,W,BD,5012
2017-05-03,08:29,Wednesday,YORK MILLS STATION,MUI,7,9,N,YU,6121
2017-05-03,08:30,Wednesday,LAWRENCE WEST STATION,MUSC,0,0,S,YU,5451
2017-05-03,08:45,Wednesday,DUPONT STATION,MUIE,0,0,,YU,0
2017-05-03,08:56,Wednesday,MAIN STREET STATION,MUSC,11,13,E,BD,5136
2017-05-03,09:02,Wednesday,CASTLE FRANK STATION,MUSC,0,0,E,BD,5294
2017-05-03,09:16,Wednesday,JANE STATION,EUDO,3,5,E,BD,5102
2017-05-03,09:17,Wednesday,PAPE STATION,MUSC,0,0,E,BD,5332
2017-05-03,09:40,Wednesday,MIDLAND STATION,TRNCA,0,0,,SRT,0
2017-05-03,09:45,Wednesday,YORK MILLS STATION (AP,MUSC,0,0,N,YU,6091
2017-05-03,10:04,Wednesday,ST GEORGE YUS STATION,MUIS,0,0,,YU,0
2017-05-03,12:32,Wednesday,SHEPPARD STATION,MUIS,0,0,,YU,0
2017-05-03,12:58,Wednesday,ROSEDALE STATION,SUDP,0,0,N,YU,5661
2017-05-03,13:51,Wednesday,KIPLING STATION,MUSC,0,0,E,BD,5068
2017-05-03,14:29,Wednesday,KENNEDY SRT STATION,MRTO,0,0,S,SRT,3012
2017-05-03,14:57,Wednesday,ROYAL YORK STATION (AP,TUSC,0,0,E,BD,5284
2017-05-03,15:14,Wednesday,ISLINGTON STATION (APP,MUSC,0,0,W,BD,5107
2017-05-03,15:52,Wednesday,ST GEORGE YUS STATION,TUSC,0,0,S,YU,5906
2017-05-03,16:02,Wednesday,KENNEDY,MRTO,0,0,S,SRT,3006
2017-05-03,16:06,Wednesday,ST GEORGE BD STATION,MUSC,0,0,E,BD,5246
2017-05-03,16:26,Wednesday,ST GEORGE YUS STATION,MUIRS,0,0,,YU,0
2017-05-03,16:34,Wednesday,KIPLING STATION,MUSC,0,0,E,BD,5259
2017-05-03,16:49,Wednesday,WELLESLEY STATION,MUPAA,3,5,N,YU,5591
2017-05-03,17:01,Wednesday,CHESTER STATION,TUSC,0,0,E,BD,5192
2017-05-03,17:22,Wednesday,FINCH STATION,PUSRA,3,5,S,YU,5596
2017-05-03,17:24,Wednesday,ROSEDALE STATION,MUPAA,0,0,N,YU,5931
2017-05-03,17:36,Wednesday,DUPONT STATION (APPROA,TUSC,0,0,S,YU,5836
2017-05-03,17:41,Wednesday,KENNEDY SRT STATION,MRTO,0,0,S,SRT,3006
2017-05-03,18:03,Wednesday,WARDEN STATION,MUNCA,0,0,,BD,0
2017-05-03,18:09,Wednesday,YORKDALE STATION,MUNCA,0,0,,YU,0
2017-05-03,18:11,Wednesday,KENNEDY SRT STATION,MRTO,0,0,N,SRT,3001
2017-05-03,18:25,Wednesday,DOWNSVIEW STATION,TUSC,0,0,N,YU,5921
2017-05-03,18:26,Wednesday,MCCOWAN STATION,MRCL,6,12,S,SRT,3021
2017-05-03,18:38,Wednesday,MCCOWAN STATION (APPRO,MRTO,0,0,N,SRT,3017
2017-05-03,19:15,Wednesday,ST CLAIR WEST STATION,TUMVS,0,0,N,YU,5871
2017-05-03,19:27,Wednesday,KENNEDY SRT STATION (A,MRTO,0,0,S,SRT,3017
2017-05-03,19:57,Wednesday,YORK MILLS STATION,MUI,0,0,S,YU,6081
2017-05-03,20:10,Wednesday,SHEPPARD STATION,SUDP,3,6,N,YU,6121
2017-05-03,20:45,Wednesday,DUPONT STATION (LEAVIN,TUMVS,0,0,N,YU,5416
2017-05-03,20:49,Wednesday,COXWELL STATION,SUO,0,0,E,BD,5184
2017-05-03,21:07,Wednesday,YORKDALE STATION,MUSC,0,0,N,YU,5766
2017-05-03,21:10,Wednesday,ST GEORGE YUS STATION,TUSC,0,0,S,YU,6071
2017-05-03,21:32,Wednesday,UNION STATION (ST ANDR,SUUT,0,0,N,YU,5976
2017-05-03,21:39,Wednesday,KENNEDY BD STATION,MUIS,0,0,,BD,0
2017-05-03,23:03,Wednesday,WARDEN STATION,SUDP,0,0,,BD,0
2017-05-03,23:28,Wednesday,LAWRENCE STATION,EUBK,4,8,S,YU,5741
2017-05-03,23:30,Wednesday,YONGE UNIVERSITY SUBWA,MUGD,0,0,,YU,0
2017-05-03,23:43,Wednesday,JANE STATION,SUAP,16,20,W,BD,5301
2017-05-04,00:25,Thursday,VICTORIA PARK STATION,MUD,5,9,E,BD,5354
2017-05-04,02:24,Thursday,FINCH STATION,TUMVS,0,0,N,YU,6081
2017-05-04,06:19,Thursday,CHRISTIE STATION,MUDD,0,0,E,BD,5333
2017-05-04,06:36,Thursday,WILSON STATION,PUSSW,10,12,S,YU,5826
2017-05-04,06:58,Thursday,WILSON YARD,MUSC,0,0,S,YU,5911
2017-05-04,07:33,Thursday,KIPLING STATION,MUSC,4,6,E,BD,5347
2017-05-04,07:51,Thursday,DOWNSVIEW STATION,TUMVS,0,0,N,YU,5881
2017-05-04,07:57,Thursday,ST GEORGE BD STATION -,PUTIJ,0,0,E,BD,5269
2017-05-04,08:27,Thursday,SUMMERHILL STATION,MUPAA,0,0,S,YU,5691
2017-05-04,08:34,Thursday,KENNEDY BD STATION,MUSC,0,0,E,BD,5333
2017-05-04,08:34,Thursday,YORK MILLS STATION,MUPAA,0,0,S,YU,5941
2017-05-04,08:38,Thursday,WELLESLEY STATION,MUIR,11,13,S,YU,5786
2017-05-04,08:41,Thursday,YORKDALE STATION,TUSUP,0,0,S,YU,5426
2017-05-04,08:50,Thursday,ST CLAIR WEST STATION,TUSUP,6,8,S,YU,5426
2017-05-04,09:08,Thursday,ST GEORGE BD STATION -,PUTIJ,8,10,E,BD,5339
2017-05-04,10:54,Thursday,WARDEN STATION,MUIS,0,0,,BD,0
2017-05-04,11:21,Thursday,HIGH PARK STATION,MUIS,0,0,E,BD,5107
2017-05-04,11:21,Thursday,LESLIE STATION,TUSC,0,0,W,SHP,5471
2017-05-04,11:58,Thursday,SHERBOURNE STATION,MUDD,3,6,W,BD,5167
2017-05-04,12:29,Thursday,CASTLE FRANK STATION,MUIRS,3,6,W,BD,5098
2017-05-04,12:36,Thursday,WELLESLEY STATION (APP,SUSA,0,0,S,YU,5656
2017-05-04,12:39,Thursday,SCARB CTR STATION,ERTC,6,12,N,SRT,3001
2017-05-04,13:14,Thursday,DOWNSVIEW STATION,MUSC,0,0,S,YU,5916
2017-05-04,13:17,Thursday,YONGE UNIVERSITY SUBWA,MUGD,0,0,,YU,0
2017-05-04,14:28,Thursday,MCCOWAN STATION,MRO,0,0,,SRT,0
2017-05-04,14:32,Thursday,MAIN STREET STATION,EUDO,4,7,E,BD,5178
2017-05-04,14:35,Thursday,WOODBINE STATION (APPR,MUSC,0,0,E,BD,5337
2017-05-04,14:36,Thursday,BAYVIEW STATION,SUCOL,0,0,E,SHP,6171
2017-05-04,14:45,Thursday,ROSEDALE STATION,TUOS,0,0,N,YU,5526
2017-05-04,16:16,Thursday,RUNNYMEDE STATION,MUSC,0,0,W,BD,5291
2017-05-04,16:38,Thursday,JANE STATION,PUMO,0,0,,BD,0
2017-05-04,17:11,Thursday,KIPLING STATION,MUSC,0,0,E,BD,5049
2017-05-04,17:14,Thursday,KIPLING STATION (LEAVI,PUTIJ,0,0,E,BD,5028
2017-05-04,17:23,Thursday,YORKDALE STATION,MUPAA,0,0,N,YU,5821
2017-05-04,17:53,Thursday,ST CLAIR STATION,MUIS,0,0,,YU,0
2017-05-04,19:20,Thursday,WILSON STATION,TUMVS,9,11,N,YU,5971
